1.19E-11	11421.78107
1.21E-11	11419.64936
1.22E-11	11417.49291
1.24E-11	11415.31145
1.25E-11	11413.10467
1.27E-11	11410.87229
1.28E-11	11408.614
1.29E-11	11406.32952
1.31E-11	11404.01853
1.33E-11	11401.68072
1.34E-11	11399.31579
1.36E-11	11396.92342
1.37E-11	11394.50329
1.39E-11	11392.05508
1.40E-11	11389.57846
1.42E-11	11387.07311
1.44E-11	11384.53869
1.45E-11	11381.97487
1.47E-11	11379.38129
1.49E-11	11376.75763
1.50E-11	11374.10352
1.52E-11	11371.41861
1.54E-11	11368.70256
1.56E-11	11365.95499
1.58E-11	11363.17554
1.59E-11	11360.36384
1.61E-11	11357.51952
1.63E-11	11354.64219
1.65E-11	11351.73148
1.67E-11	11348.787
1.69E-11	11345.80836
1.71E-11	11342.79515
1.73E-11	11339.74698
1.75E-11	11336.66345
1.77E-11	11333.54413
1.79E-11	11330.38863
1.81E-11	11327.19651
1.83E-11	11323.96735
1.85E-11	11320.70073
1.87E-11	11317.3962
1.89E-11	11314.05334
1.92E-11	11310.67168
1.94E-11	11307.25079
1.96E-11	11303.79021
1.98E-11	11300.28948
2.01E-11	11296.74812
2.03E-11	11293.16568
2.05E-11	11289.54167
2.08E-11	11285.87562
2.10E-11	11282.16702
2.13E-11	11278.4154
2.15E-11	11274.62025
2.18E-11	11270.78106
2.20E-11	11266.89732
2.23E-11	11262.96853
2.25E-11	11258.99415
2.28E-11	11254.97366
2.31E-11	11250.90651
2.33E-11	11246.79218
2.36E-11	11242.63011
2.39E-11	11238.41975
2.41E-11	11234.16053
2.44E-11	11229.8519
2.47E-11	11225.49327
2.50E-11	11221.08408
2.53E-11	11216.62372
2.56E-11	11212.11161
2.59E-11	11207.54715
2.62E-11	11202.92972
2.65E-11	11198.25873
2.68E-11	11193.53353
2.71E-11	11188.75351
2.74E-11	11183.91803
2.77E-11	11179.02644
2.80E-11	11174.0781
2.84E-11	11169.07234
2.87E-11	11164.00851
2.90E-11	11158.88591
2.94E-11	11153.70388
2.97E-11	11148.46173
3.01E-11	11143.15875
3.04E-11	11137.79424
3.08E-11	11132.36749
3.11E-11	11126.87777
3.15E-11	11121.32436
3.18E-11	11115.70651
3.22E-11	11110.02348
3.26E-11	11104.27451
3.30E-11	11098.45884
3.33E-11	11092.57569
3.37E-11	11086.62427
3.41E-11	11080.60381
3.45E-11	11074.51349
3.49E-11	11068.3525
3.53E-11	11062.12003
3.57E-11	11055.81525
3.62E-11	11049.43731
3.66E-11	11042.98537
3.70E-11	11036.45857
3.74E-11	11029.85605
3.79E-11	11023.17691
3.83E-11	11016.42028
3.87E-11	11009.58525
3.92E-11	11002.67091
3.96E-11	10995.67636
4.01E-11	10988.60064
4.06E-11	10981.44283
4.10E-11	10974.20196
4.15E-11	10966.87708
4.20E-11	10959.46721
4.25E-11	10951.97137
4.30E-11	10944.38855
4.35E-11	10936.71776
4.40E-11	10928.95796
4.45E-11	10921.10812
4.50E-11	10913.16721
4.55E-11	10905.13415
4.61E-11	10897.00789
4.66E-11	10888.78735
4.71E-11	10880.47142
4.77E-11	10872.05901
4.82E-11	10863.54898
4.88E-11	10854.94022
4.94E-11	10846.23157
4.99E-11	10837.42188
5.05E-11	10828.50997
5.11E-11	10819.49466
5.17E-11	10810.37474
5.23E-11	10801.14901
5.29E-11	10791.81623
5.35E-11	10782.37517
5.41E-11	10772.82456
5.48E-11	10763.16314
