 1.5000e+2	1.5120e-20
 2.0000e+2	1.1400e-20
 3.0000e+2	7.5600e-21
 5.0000e+2	4.6800e-21
 1.0000e+3	2.0000e-21
 2.0000e+3	1.2000e-21
 5.0000e+3	4.9200e-22
 5.0000e+4	 0.0000e+0
------------------------------------------------------------

IONIZATION
N2O -> N2O^+
  1.289e+1 / threshold energy
COMMENT: Collisional Ionization (set labeled qi)
UPDATED: 2010-06-25 12:45:12
------------------------------------------------------------
 1.2890e+1	 0.0000e+0
 1.4000e+1	5.4000e-22
 1.4500e+1	1.2100e-21
 1.5000e+1	1.5800e-21
 1.6000e+1	2.3800e-21
 1.7000e+1	3.1900e-21
 1.8000e+1	4.0400e-21
 1.9000e+1	4.9600e-21
 2.0000e+1	6.2000e-21
 2.1000e+1	7.2300e-21
 2.2000e+1	8.3900e-21
 2.4000e+1	1.0700e-20
 2.6000e+1	1.2800e-20
 3.0000e+1	1.6400e-20
 4.0000e+1	2.3100e-20
 5.0000e+1	2.8100e-20
 6.0000e+1	3.1800e-20
 8.0000e+1	3.6100e-20
 1.0000e+2	3.7500e-20
 1.5000e+2	3.6900e-20
 2.0000e+2	3.4500e-20
 3.0000e+2	2.9400e-20
 4.0000e+2	2.5200e-20
 5.0000e+2	2.2300e-20
 6.0000e+2	1.9700e-20
 8.0000e+2	1.6300e-20
 1.0000e+3	1.4200e-20
 1.0000e+4	2.0000e-21
------------------------------------------------------------

+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
QUANTEMOL
DESCRIPTION: Data calculated and published by Quantemol Ltd. and associated researchers using Quantemol-N
software/expert system.
HISTORY: Quantemol Ltd is based in University College London initiated by Professor Jonathan Tennyson FRS and Dr. Daniel
Brown in 2004. The company initially developed a unique software tool that brings full accessibility to the highly
sophisticated UK molecular R-matrix code, which is used to model electron polyatomic molecule interactions. What makes
the software unique is that it requires no expertise in quantum scattering theory, and very accurate calculations can be
performed on a simple desktop machine or laptop. Since then Quantemol has widened to further types of simulations with
plasmas and industrial plasma tools.
REFERENCES: http://quantemol.com

CROSS SECTIONS

Species/processes: BF3 (3), C2 (2), C2H2 (1), C2H2+ (1), C2OH6 (1), C3 (1), C3H4 (1), C3N (2), CaF (1), CaF+ (1), CF
(2), CF2 (1), CF4 (1), CH (1), CH+ (1), CH4 (1), CNH (2), CO (3), CO2 (2), CO2+O2 -> O2+ (1), CONH3 (1), COS (2), CS (2), F2O
(2), H2 (1), H2+ (1), H2O (5), H2S (2), H4C (2), HBr (3), HCHO (2), HCN (1), HCP (2), Kr (1), N2 (1), N2O (1), NH3 (2),
NO2 (1), O2 (1), O3 (2), PH3 (2), SiF2 (2), SiH4 (2), SiO (4), SO2 (2)
Number of downloads from 18 May 2011: 139
Last update: 18 April 2011, 17:40

+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+

COMMENT
NO2
Quantemol Basic Run of NO2
-----------------------------------------------------------------------------------------------------------------------

IONIZATION
NO2
  6.880e+0 / threshold energy
COMMENT: ================================================ e-NO2 Scattering using the R-matrix method Quantemol-N (EE)
Version 3.7 Date and time: Mon Jan 31 00:34:05 GMT 2011 ================================================ Point group
employed: C2v Molecular charge is 0 Geometry employed (quoted in Angstroms in the centre of mass frame): N 0.0000 0.0000
-0.3236 O 0.0000 1.0989 0.1417 O 0.0000 -1.0989 0.1417 Basis set employed: DZP Ground state electron configuration:
1(b2)^2, 1(a1)^2, 2(a1)^2, 3(a1)^2, 2(b2)^2, 4(a1)^2, 5(a1)^2, 3(b2)^2, 1(b1)^2, 4(b2)^2, 1(a2)^2, 6(a1)^1, Quantum
